PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
CAT CHOW GATITOS ;12296018;15;1; 2.654,56 ; 2.654,56 ; 3.212,03 ; 3.212,03 ; 4.015,02 
CAT CHOW ADULTOS;12296010;0,5;10; 1.202,79 ; 120,28 ; 1.455,38 ; 145,54 ; 189,20 
CAT CHOW ADULTOS;12296009;1;8; 1.819,10 ; 227,38 ; 2.201,09 ; 275,14 ; 357,67 
CAT CHOW ADULTOS;12296007;3;6; 3.464,00 ; 577,34 ; 4.191,45 ; 698,58 ; 908,15 
CAT CHOW ADULTOS;12296008;8;1; 1.469,70 ; 1.469,70 ; 1.778,35 ; 1.778,35 ; 2.222,93 
CAT CHOW ADULTOS;12296011;15;1; 2.528,15 ; 2.528,15 ; 3.059,07 ; 3.059,07 ; 3.823,84 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12296005;0,5;10; 1.202,79 ; 120,28 ; 1.455,38 ; 145,54 ; 189,20 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12296003;1;8; 1.819,10 ; 227,38 ; 2.201,09 ; 275,14 ; 357,67 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12297243;3;6; 3.464,00 ; 577,34 ; 4.191,45 ; 698,58 ; 908,15 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12296004;8;1; 1.469,70 ; 1.469,70 ; 1.778,35 ; 1.778,35 ; 2.222,93 
CAT CHOW ADULTOS DELICIAS SABOR CARNE;12296006;15;1; 2.528,15 ; 2.528,15 ; 3.059,07 ; 3.059,07 ; 3.823,84 
CAT CHOW ADULTOS DELI MIX;12296014;0,5;10; 1.263,09 ; 126,31 ; 1.528,34 ; 152,83 ; 198,68 
CAT CHOW ADULTOS DELI MIX;12296013;1;8; 1.910,05 ; 238,76 ; 2.311,15 ; 288,90 ; 375,56 
